id,loyalty,frequency,money,L,F,M,LFM
2084,0.84425233,3.204841148,675,,,,
2085,0.668426857,3.204747092,327.5,,,,
2086,0.967180347,3.201214773,314,,,,
2087,1.105442177,3.199524158,359.3846154,,,,
2088,0.302998823,3.198999271,459.4285714,,,,
2089,1.045369015,3.198795903,229.5,,,,
2090,1.046353458,3.197994996,884,,,,
2091,0.45,3.197466302,304.5555556,,,,
2092,0.694113914,3.197252586,567.1428571,,,,
2093,0.736340877,3.197054145,820.3333333,,,,
2094,0.895255148,3.196637218,529.1,,,,
2095,0.898149811,3.196155761,792.8,,,,
2096,0.602191979,3.196050486,300.5,,,,
2097,0.998701688,3.195686778,494.125,,,,
2098,0.69124424,3.195625242,281,,,,
2099,1.062411868,3.195554384,455.8181818,,,,
2100,0,3.195171351,282,,,,
2101,0.557457992,3.194897333,729,,,,
2102,0.853658537,3.194117047,273.5714286,,,,
2103,0.601527881,3.194113242,1224,,,,
2104,0.9,3.193441965,325,,,,
2105,0,3.193110028,442.8333333,,,,
2106,0.997580866,3.192925089,438.125,,,,
2107,0.549118665,3.192873736,599,,,,
2108,0.869716472,3.192723144,480.8,,,,
2109,0.718066555,3.192087586,1069.285714,,,,
2110,0.493023714,3.19124983,500,,,,
2111,0.350606549,3.1901282,609.75,,,,
2112,0.688667291,3.189418999,535,,,,
2113,0.6782788,3.189376056,647.2,,,,
2114,0,3.189109427,287.3333333,,,,
2115,1.182499015,3.188732244,254.6666667,,,,
2116,0.851353652,3.18859771,373.3333333,,,,
2117,0.907990315,3.187255525,297,,,,
2118,0.797066794,3.187010266,315,,,,
2119,1.112037809,3.186515157,407,,,,
2120,0,3.18621574,314,,,,
2121,0,3.186215723,302.5,,,,
2122,0.674293677,3.185831553,857.3333333,,,,
2123,0.6499053,3.185587161,686.7142857,,,,
2124,0.749985,3.184947807,299.2,,,,
2125,0.789473684,3.184097614,371.3333333,,,,
2126,0.676727347,3.183266874,593.5,,,,
2127,0.609273137,3.182983879,215.3333333,,,,
2128,0.838234678,3.182599423,374.8333333,,,,
2129,0.873850886,3.182532598,447.2,,,,
2130,0,3.182363227,304.1538462,,,,
2131,0.895255148,3.182336364,353.25,,,,
2132,0.980584428,3.182094727,305.5,,,,
2133,0.699440448,3.182038719,259.7142857,,,,
2134,0.66693344,3.181523884,561.2857143,,,,
2135,1.142421935,3.181049831,468.3333333,,,,
2136,0.764818356,3.181027384,376,,,,
2137,0,3.180749271,259,,,,
2138,0.379420246,3.180571232,367,,,,
2139,0.997506234,3.180205383,603.5,,,,
2140,1.068261938,3.179789484,218,,,,
2141,1.01209453,3.179385961,245,,,,
2142,0.384387287,3.177968782,2540.142857,,,,
2143,0.821665681,3.177723225,361,,,,
2144,0.653594771,3.176979856,297.5,,,,
2145,0,3.17682689,247.5,,,,
2146,0.982656119,3.176816503,342.25,,,,
2147,0,3.176638244,317.7,,,,
2148,0.742037933,3.175981449,672.6,,,,
2149,0.907935355,3.175944738,698,,,,
2150,0.759791817,3.175192529,577,,,,
2151,0.302078299,3.173284976,500.25,,,,
2152,0.624661642,3.172714213,360.3333333,,,,
2153,0,3.172340244,310,,,,
2154,0,3.171823875,268.3333333,,,,
2155,1,3.171803567,313.2857143,,,,
2156,0.514562108,3.171004562,296.5,,,,
2157,0.906453952,3.169683602,245,,,,
2158,1.181567546,3.168871936,345,,,,
2159,1.111111111,3.168746203,462.5,,,,
2160,0.862515094,3.168406916,4914.666667,,,,
2161,0,3.167998627,349.625,,,,
2162,1.160160102,3.167499717,596,,,,
2163,0.554991754,3.165842411,627.5714286,,,,
2164,0.894806543,3.165807898,355.2,,,,
2165,0.624275395,3.165643907,332.4285714,,,,
2166,0.995392754,3.1656404,355.4285714,,,,
2167,0.75,3.165370203,249.8333333,,,,
2168,0,3.165340889,418.5,,,,
2169,0.824965823,3.164223071,240.4285714,,,,
2170,0.973682746,3.163933323,407.5714286,,,,
2171,0.712668071,3.163923371,655.8888889,,,,
2172,0.66749733,3.162844818,442.3333333,,,,
2173,1.068947087,3.16259455,502.75,,,,
2174,0.860183342,3.161396034,355,,,,
2175,0.969148764,3.15966272,320.3333333,,,,
2176,0.621310966,3.159574599,282,,,,
2177,0.831590952,3.158687236,246.1428571,,,,
2178,0.788809424,3.156604623,581.3333333,,,,
2179,0.967741935,3.154944283,245,,,,
2180,0.647920176,3.154860934,755.5,,,,
2181,0,3.154148526,295.6666667,,,,
2182,0.745119467,3.153940561,380.2222222,,,,
2183,0.51198034,3.153924563,500,,,,
2184,0.748783227,3.151717693,433,,,,
2185,0.809585492,3.151498837,467.5,,,,
2186,0.897988506,3.151444491,491.3333333,,,,
2187,0.718442417,3.151436758,340.5,,,,
2188,0.708114998,3.151386715,671.25,,,,
2189,0.440431623,3.15133453,614.5,,,,
2190,0.887547706,3.15116439,327.3333333,,,,
2191,0.760629801,3.150985432,519,,,,
2192,0.324480426,3.150949007,694.75,,,,
2193,1.014816318,3.150247879,661.9,,,,
2194,1.000440194,3.150025666,444.2,,,,
2195,1.126126126,3.148910847,500.3333333,,,,
2196,0.921064751,3.148758647,479,,,,
2197,0,3.148729854,470.4,,,,
2198,0.674657611,3.147954176,342.5,,,,
2199,1.073191672,3.147892163,695.6,,,,
2200,0.472716386,3.146850503,437.1666667,,,,
2201,0.505433409,3.145575499,716.25,,,,
2202,0,3.145068134,282,,,,
2203,1.123848056,3.144937796,354.3333333,,,,
2204,0.686153424,3.143824657,561,,,,
2205,0.997784917,3.143799051,310.9,,,,
2206,0.834074733,3.143627245,536.3333333,,,,
2207,0.691228313,3.14288574,310,,,,
2208,1.077586207,3.141737754,430.5,,,,
2209,0.725457764,3.141486539,462.6,,,,
2210,0,3.141091254,248,,,,
2211,0.626157273,3.140057125,493.5714286,,,,
2212,0.648659869,3.139952972,300.4,,,,
2213,0.826582906,3.139104424,434.5,,,,
2214,0.570125428,3.137792227,434,,,,
2215,1.271374992,3.136541158,245,,,,
